Fund,StrategyOverride
Candriam Index Arbitrage - Class C EUR,Relative Value
Candriam Long Short Credit - Class C EUR,Relative Value
Renaissance Institutional Diversified Alpha Fund,Quantitative
The Winton Fund Ltd - Tranche B (USD),Quantitative
Segantii Asia-Pacific Equity Multi-Strategy Fund,Multi-Strategy
Pinpoint Multi-Strategy Master Fund - Class A,Multi-Strategy
Nordkinn Fixed Income Macro Fund - Class A SEK,Macro
Aspect Systematic Global Macro Programme,Macro
Algebris Global Credit Opportunities Fund UCITS - Class B EUR,Credit
Barak Structured Trade Finance Fund,Macro
Ibiuna Hedge STH FIC FIM,Macro
Nordea 1 - Alpha 10 MA Fund - Class BI EUR,Macro
Nordea 1 - Alpha 15 MA Fund - Class BI EUR,Macro
Mariner Atlantic Multi-Strategy Fund LP,Multi-Strategy
Man Numeric Emerging Markets Equity - Class I USD,Quantitative
Renaissance Institutional Diversified Global Equities Fund Offshore LP A,Quantitative
Renaissance Institutional Equities Fund,Quantitative
Red Cliff Asia Fund - Class B USD,Relative Value
Evenstar Sub-Fund I,Relative Value
The Mangrove Partners Fund LP,Relative Value
PIMCO Multi-Asset Alternative Risk Premia Fund,Relative Value
Tenor Opportunity Fund,Relative Value
Pelagus Capital Fund EUR,Relative Value
Whitebox Relative Value Partners LP,Relative Value
Wexford Catalyst Fund LP,Multi-Strategy
KLS Diversified Fund Ltd,Relative Value
Nextar Fund Class B Shares,Multi-Strategy
Bardin Hill Event-Driven Fund US LP,Multi-Strategy
LIM Asia Multi-Strategy Fund - Class A Series 1,Multi-Strategy
