PeerShortName,Generalist L/S Eqty,Multi-PM,Macro,Div Multi-Strat,Quant,Relative Value,Cross Cap,Fdmtl Credit,Structured Credit,L/S Credit,Europe Credit,Consumer,Energy,Financials,Healthcare,TMT,Asia Equity,China,Europe Eqty
Generalist L/S Eqty,1,,,,,,,,,,,,,,,,,,
Multi-PM,0.75,1,,,,,,,,,,,,,,,,,
Macro,0.5,0.5,1,,,,,,,,,,,,,,,,
Div Multi-Strat,0.75,0.75,0.5,1,,,,,,,,,,,,,,,
Quant,0.25,0.5,0.75,0.5,1,,,,,,,,,,,,,,
Relative Value,0.75,0.5,0.5,0.75,0.25,1,,,,,,,,,,,,,
Cross Cap,0.25,0.25,0.25,0.5,0,0.5,1,,,,,,,,,,,,
Fdmtl Credit,0.5,0.5,0.25,0.5,0.25,0.5,0.25,1,,,,,,,,,,,
Structured Credit,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.5,1,,,,,,,,,,
L/S Credit,0.25,0.5,0.5,0.5,0.25,0.5,0.25,0.75,0.25,1,,,,,,,,,
Europe Credit,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.75,0.75,0.25,1,,,,,,,,
Consumer,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,1,,,,,,,
Energy,0.25,0.25,0.5,0.5,0.25,0.25,0,0,0,0,0,0,1,,,,,,
Financials,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,1,,,,,
Healthcare,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0,0,1,,,,
TMT,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0,0,0.5,1,,,
Asia Equity,0.5,0.5,0,0.5,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0,1,,
China,0.25,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0.25,0,0.25,0,0.25,0.75,1,
Europe Eqty,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0,0.25,0,0,0.25,0,0,0.25,0.25,1
